,Channel1,Channel2,Channel3,Channel4
167,4.32,0.16,-0.08,-0.16
168,-1.52,0.16,-0.16,-0.4
169,0.08,0.16,-0.08,-0.24
170,0,0.16,-0.16,-0.32
171,0.08,0.16,-0.08,4
172,-0.08,0.08,-0.16,-1.84
173,0.08,0.16,-0.08,-0.24
174,0,0.16,-0.16,-0.32
175,0.08,0.16,-0.08,-0.24
176,0,0.16,-0.16,-0.32
177,0.08,0.16,-0.08,-0.24
178,0,0.16,-0.16,-0.32
179,0.08,0.16,-0.08,-0.24
180,0,0.16,-0.16,-0.32
181,0.08,0.16,-0.08,-0.24
182,0,0.16,-0.16,-0.32
183,4.32,0.16,-0.08,-0.16
184,-1.52,0.16,-0.16,-0.4
185,0.08,0.16,-0.08,-0.24
186,0,0.16,-0.16,-0.32
187,0.08,0.16,-0.08,-0.24
188,0,0.08,-0.16,-0.32
189,0.08,0.16,-0.08,-0.24
190,0,0.08,-0.16,-0.32
191,0.16,0.16,-0.08,4
192,-0.08,0.08,-0.16,-1.84
193,0.08,0.16,-0.08,-0.24
194,0,0.16,-0.16,-0.32
195,0.08,0.16,-0.08,-0.24
196,0,0.08,-0.16,-0.32
197,0.08,0.16,-0.08,-0.24
198,0,0.08,-0.16,-0.32
199,0.08,0.16,-0.08,-0.24
200,0,0.16,-0.16,-0.32
201,4.32,0.16,-0.08,-0.16
202,-1.52,0.16,-0.16,-0.4
203,0.08,0.16,-0.08,-0.24
204,0,0.16,-0.16,-0.32
205,0.08,0.16,-0.08,-0.24
206,0,0.16,-0.16,-0.32
207,0.08,0.16,-0.08,-0.24
208,0,0.16,-0.16,-0.32
209,0.08,0.16,-0.08,-0.24
210,0,0.16,-0.16,-0.32
211,0.16,0.16,-0.08,4
212,-0.08,0.08,-0.16,-1.84
213,0.08,0.16,-0.08,-0.24
214,0,0.08,-0.16,-0.32
215,0.08,0.16,-0.08,-0.24
216,0,0.16,-0.16,-0.32
217,4.32,0.16,-0.08,-0.16
218,-1.52,0.16,-0.16,-0.4
219,0.08,0.16,-0.08,-0.24
220,0,0.08,-0.16,-0.32
221,0.08,0.16,-0.08,-0.24
222,0,0.16,-0.16,-0.32
223,0.08,0.16,-0.08,-0.24
224,0,0.08,-0.16,-0.32
225,0.08,0.16,-0.08,-0.24
226,0,0.16,-0.16,-0.32
227,0.08,0.16,-0.08,-0.24
228,0,0.16,-0.16,-0.32
229,0.08,0.16,-0.08,-0.24
230,0,0.16,-0.16,-0.32
231,0.16,0.16,-0.08,4
232,-0.08,0.16,-0.16,-1.84
233,0.08,0.16,-0.08,-0.24
234,0,0.08,-0.16,-0.32
235,4.32,0.16,-0.08,-0.16
236,-1.52,0.08,-0.16,-0.4
237,0.08,0.16,-0.08,-0.24
238,0,0.16,-0.16,-0.32
239,0.08,0.16,-0.08,-0.24
240,0,0.08,-0.16,-0.32
241,0.08,0.16,-0.08,-0.24
242,0,0.08,-0.16,-0.32
243,0.08,0.16,-0.08,-0.24
244,0,0.08,-0.16,-0.32
245,0.08,0.16,-0.08,-0.24
246,0,0.08,-0.16,-0.32
247,0.08,0.16,-0.08,-0.24
248,0,0.08,-0.16,-0.32
249,0.08,0.16,-0.08,-0.24
250,0,0.08,-0.16,-0.32
251,4.32,0.16,-0.08,4
252,-1.52,0.16,-0.16,-1.84
253,0.08,0.16,-0.08,-0.24
254,0,0.16,-0.16,-0.32
255,0.08,0.16,-0.08,-0.24
